species,genus,subfamily,family,suborder,order
Pteris_satsumana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_medogensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_spinescens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_otaria,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_praetermissa,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_assamica,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_khasiana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_biaurita,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_vaupelii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_mucronulata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_oppositipinnata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_griffithii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_roseolilacina,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_subindivisa,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_glaucovirens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_mertensioides,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_reptans,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_hirtula,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_tibetica,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_splendida,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_catoptera,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_friesii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_togoensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_quadriaurita,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_preussii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_dataensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_keysseri,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_blumeana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_humbertii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_macracantha,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_viridissima,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_dixitii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_tricolor,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_kathmanduensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_normalis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_scabririgens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_scabripes,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_subquinata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_puberula,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_cadieri,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_grevilleana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_dimorpha,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_quadristipitis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_langsonensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_hovenkampii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_hainanensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_decrescens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_longipinna,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_heteromorpha,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pellucida,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_camerooniana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_venusta,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_fraseri,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_praestantissima,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_insignis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_lydgatei,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_ensiformis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_vitiensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_terminalis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_inaequalis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_formosana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_woodwardioides,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_semipinnata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_dissitifolia,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_dispar,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_ligulata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_melanocaulon,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_chilensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_tremula,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_novae-caledoniae,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_kingiana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_croesus,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_semiadnata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_bahamensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_purdoniana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_delchampsii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_longifolia,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_vittata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_grandifolia,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_moluccana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_papuana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_platyzomopsis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Adenophorus_sarmentosus,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_haaliloanus,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_oahuensis,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_abietinus,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_epigaeus,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_tamariscinus,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_hymenophylloides,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_tripinnatifidus,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_periens,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Adenophorus_tenellus,Adenophorus,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Parrisia_parietina,Parrisia,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
Grammitis_marginella,Grammitis,Grammitidoideae,Polypodiaceae,Polypodiineae,Polypodiales
